Time,Total Energy
12/11/2019 10:13:55,369.30
12/11/2019 10:17:21,369.30
12/11/2019 10:21:08,369.30
12/11/2019 10:24:27,369.30
12/11/2019 10:31:09,369.40
12/11/2019 10:34:26,369.40
12/11/2019 10:37:42,369.40
12/11/2019 10:40:57,369.40
12/11/2019 10:44:14,369.40
12/11/2019 10:50:46,369.50
12/11/2019 10:54:04,369.50
12/11/2019 10:57:20,369.50
12/11/2019 11:00:36,369.50
12/11/2019 11:03:53,369.50
12/11/2019 11:07:10,369.50
12/11/2019 11:10:25,369.50
12/11/2019 11:16:58,369.60
12/11/2019 11:20:13,369.60
12/11/2019 11:23:32,369.60
12/11/2019 11:26:48,369.60
12/11/2019 11:30:03,369.60
12/11/2019 11:33:21,369.60
12/11/2019 11:39:54,369.70
12/11/2019 11:43:11,369.70
12/11/2019 11:46:26,369.70
12/11/2019 11:49:45,369.70
12/11/2019 11:53:01,369.70
12/11/2019 11:56:16,369.70
12/11/2019 11:59:32,369.70
12/11/2019 12:06:46,369.80
12/11/2019 12:10:02,369.80
12/11/2019 12:13:17,369.80
12/11/2019 12:16:34,369.80
12/11/2019 12:19:53,369.80
12/11/2019 12:26:24,369.90
12/11/2019 12:29:40,369.90
12/11/2019 12:32:56,369.90
12/11/2019 12:36:11,369.90
12/11/2019 12:39:29,369.90
12/11/2019 12:42:45,369.90
12/11/2019 12:49:22,370.00
12/11/2019 12:52:39,370.00
12/11/2019 12:55:53,370.00
12/11/2019 12:59:11,370.00
12/11/2019 13:02:29,370.00
12/11/2019 13:05:45,370.00
12/11/2019 13:09:03,370.00
12/11/2019 13:15:38,370.10
12/11/2019 13:18:53,370.10
12/11/2019 13:22:11,370.10
12/11/2019 13:25:31,370.10
12/11/2019 13:28:52,370.10
12/11/2019 13:35:26,370.20
12/11/2019 13:38:45,370.20
12/11/2019 13:42:05,370.20
12/11/2019 13:45:21,370.20
12/11/2019 13:48:38,370.20
12/11/2019 13:51:54,370.20
12/11/2019 13:55:45,370.20
12/11/2019 14:02:58,370.30
12/11/2019 14:07:02,370.30
12/11/2019 14:11:32,370.30
12/11/2019 14:14:48,370.30
12/11/2019 14:18:08,370.30
12/11/2019 14:24:40,370.40
12/11/2019 14:27:59,370.40
12/11/2019 14:31:15,370.40
12/11/2019 14:34:31,370.40
12/11/2019 14:37:47,370.40
12/11/2019 14:41:04,370.40
12/11/2019 14:44:22,370.40
12/11/2019 14:50:57,370.50
12/11/2019 14:54:12,370.50
12/11/2019 14:57:28,370.50
12/11/2019 15:00:43,370.50
12/11/2019 15:04:00,370.50
12/11/2019 15:07:16,370.50
12/11/2019 15:10:31,370.50
12/11/2019 15:13:48,370.50
12/11/2019 15:20:22,370.60
12/11/2019 15:23:38,370.60
12/11/2019 15:26:57,370.60
12/11/2019 15:30:17,370.60
12/11/2019 15:33:33,370.60
12/11/2019 15:36:54,370.60
12/11/2019 15:40:09,370.60
12/11/2019 15:43:27,370.60
12/11/2019 15:46:45,370.60
12/11/2019 15:50:01,370.60
12/11/2019 15:56:34,370.70
12/11/2019 15:59:52,370.70
12/11/2019 16:03:08,370.70
12/11/2019 16:06:26,370.70
12/11/2019 16:09:43,370.70
12/11/2019 16:12:59,370.70
12/11/2019 16:16:33,370.70
12/11/2019 16:20:05,370.70
12/11/2019 16:23:33,370.70
12/11/2019 16:26:57,370.70
12/11/2019 16:30:26,370.70
12/11/2019 16:37:24,370.80
12/11/2019 16:40:52,370.80
12/11/2019 16:44:30,370.80
12/11/2019 16:47:58,370.80
12/11/2019 16:51:22,370.80
12/11/2019 16:54:49,370.80
12/11/2019 16:58:14,370.80
12/11/2019 17:01:48,370.80
12/11/2019 17:05:20,370.80
12/11/2019 17:08:46,370.80
12/11/2019 17:12:07,370.80
12/11/2019 17:15:31,370.80
12/11/2019 17:18:58,370.80
12/11/2019 17:22:17,370.80
12/11/2019 17:25:38,370.80
12/11/2019 17:29:02,370.80
12/11/2019 17:32:23,370.80
12/11/2019 17:35:43,370.80
12/11/2019 17:39:12,370.80
12/11/2019 17:42:33,370.80
12/11/2019 17:45:53,370.80
12/11/2019 17:49:14,370.80
12/11/2019 17:52:36,370.80
12/11/2019 17:59:13,370.90
12/11/2019 18:02:31,370.90
12/11/2019 18:05:47,370.90
12/11/2019 18:09:02,370.90
12/11/2019 18:12:24,370.90
12/11/2019 18:15:40,370.90
12/11/2019 18:18:56,370.90
12/11/2019 18:22:12,370.90
